,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
0,Alabama,SEC (West),1,12,1,7.45,16.99,24.44,40.60,7.16,7.87,4.86,5.29,3.03,6.60,3.73,2011
1,LSU,SEC (West),2,13,1,7.52,16.75,24.27,41.11,7.21,7.84,5.63,4.54,3.04,5.88,4.10,2011
2,Oklahoma State,Big 12,3,12,1,18.60,5.54,24.14,51.93,18.37,7.85,6.63,5.24,4.56,7.08,5.33,2011
3,Oklahoma,Big 12,16,10,3,9.47,10.28,19.75,43.15,14.53,7.14,6.84,4.50,3.83,6.25,5.11,2011
4,Oregon,Pac-12 (North),4,12,2,15.45,3.35,18.80,48.98,19.20,7.61,6.32,6.16,4.09,6.99,4.84,2011
5,Stanford,Pac-12 (North),7,11,2,10.65,7.13,17.78,45.62,16.41,8.29,7.36,4.69,3.44,6.56,5.13,2011
6,Boise State,MWC,8,12,1,9.23,7.53,16.75,42.14,17.66,7.21,7.60,3.84,3.91,5.83,5.48,2011
7,Michigan,Big Ten (Legends),12,11,2,7.15,9.12,16.27,38.05,16.26,7.87,7.23,4.99,4.41,6.19,5.53,2011
8,Wisconsin,Big Ten (Leaders),10,11,3,9.72,6.17,15.89,46.49,18.52,9.60,7.50,5.21,4.73,7.03,5.68,2011
9,USC,Pac-12 (South),6,10,2,9.07,5.09,14.16,39.30,18.61,7.61,7.05,4.59,3.87,6.43,5.30,2011
10,Arkansas,SEC (West),5,11,2,9.90,3.96,13.86,40.69,20.91,8.13,6.80,4.14,4.88,6.52,5.56,2011
11,Baylor,Big 12,13,10,3,19.95,-6.12,13.83,47.73,30.70,10.12,8.25,5.05,5.34,7.41,6.54,2011
12,South Carolina,SEC (East),9,11,2,4.92,8.64,13.56,32.65,16.26,7.25,5.28,4.03,4.20,5.50,4.46,2011
13,Texas A&M,Big 12,,7,6,11.59,1.78,13.36,42.48,21.08,6.50,7.24,4.83,2.79,5.91,4.75,2011
14,Texas,Big 12,,8,5,1.99,10.17,12.16,31.47,14.67,6.50,6.25,4.12,3.10,5.24,4.52,2011
15,Houston,CUSA (West),18,13,1,11.27,0.67,11.94,47.83,25.18,8.55,7.34,4.32,4.94,7.23,5.68,2011
16,Kansas State,Big 12,15,10,3,7.38,4.07,11.45,34.84,21.22,6.31,7.50,3.72,4.14,4.74,5.62,2011
17,Florida State,ACC (Atlantic),23,9,4,1.27,9.96,11.22,32.49,14.50,8.31,6.97,2.88,3.02,5.62,4.53,2011
18,Missouri,Big 12,,8,5,3.77,7.32,11.08,35.11,16.74,7.22,6.93,5.12,3.99,6.13,5.20,2011
19,Notre Dame,Ind,,8,5,4.23,6.83,11.06,33.98,16.20,6.54,6.81,4.75,3.99,5.93,5.14,2011
22,Georgia,SEC (East),19,10,4,4.78,5.88,10.67,36.39,18.68,7.87,5.82,3.61,3.78,5.69,4.72,2011
23,Michigan State,Big Ten (Legends),11,11,3,1.99,8.06,10.05,32.76,15.81,7.12,6.45,3.49,3.07,5.53,4.45,2011
24,Texas Christian,MWC,14,11,2,6.98,2.69,9.67,38.71,23.07,7.45,8.29,4.43,4.12,5.91,5.78,2011
25,Southern Mississippi,CUSA (East),20,12,2,7.11,2.07,9.18,34.94,22.95,6.43,6.68,4.35,4.05,5.62,5.05,2011
26,Nebraska,Big Ten (Legends),24,9,4,4.15,4.62,8.76,32.16,20.86,6.69,7.21,4.19,4.32,5.25,5.34,2011
27,West Virginia,Big East,17,10,3,9.80,-1.16,8.65,40.39,25.96,7.62,6.90,3.73,4.71,6.21,5.52,2011
28,Virginia Tech,ACC (Coastal),21,11,3,-0.65,8.86,8.21,28.39,16.82,7.34,6.91,3.77,3.94,5.45,5.17,2011
29,Cincinnati,Big East,25,10,3,3.66,3.68,7.34,35.36,21.46,6.03,8.07,4.51,3.93,5.41,5.71,2011
30,Vanderbilt,SEC (East),,6,7,2.76,4.33,7.09,31.14,19.80,6.38,6.81,4.02,4.17,5.23,5.17,2011
31,Toledo,MAC (West),,9,4,13.83,-6.99,6.84,41.90,32.17,7.01,8.33,4.34,4.58,5.81,6.23,2011
32,Clemson,ACC (Atlantic),22,10,4,8.74,-2.20,6.54,35.72,28.35,7.30,7.36,3.79,5.09,5.75,5.87,2011
33,Penn State,Big Ten (Leaders),,9,4,-4.49,10.96,6.47,23.00,13.58,5.48,6.05,3.91,3.85,4.88,4.78,2011
34,Rutgers,Big East,,9,4,-0.45,6.87,6.42,28.02,17.49,5.61,7.22,2.53,4.29,4.36,5.34,2011
35,Florida,SEC (East),,7,6,0.62,5.38,6.00,30.47,19.63,7.64,6.85,3.86,4.01,5.65,4.99,2011
36,Temple,MAC (East),,9,4,-2.21,7.84,5.63,27.94,17.73,7.17,7.92,4.44,4.41,5.37,5.69,2011
37,Northern Illinois,MAC (West),,11,3,10.12,-4.57,5.55,35.57,31.25,7.07,8.24,4.65,4.62,5.93,5.98,2011
38,Tulsa,CUSA (West),,8,5,4.78,0.42,5.20,34.31,24.32,7.05,7.79,4.21,3.76,5.72,5.34,2011
39,Miami (FL),ACC (Coastal),,6,6,0.62,4.56,5.17,29.24,19.79,7.79,7.84,4.11,4.66,6.00,5.84,2011
40,Mississippi State,SEC (West),,7,6,-0.82,5.96,5.13,28.18,18.67,6.72,6.45,3.95,4.42,5.33,5.11,2011
41,Arizona State,Pac-12 (South),,6,7,7.13,-2.03,5.10,36.79,25.08,7.46,8.17,3.67,4.79,6.06,6.09,2011
44,Brigham Young,Ind,,10,3,0.03,4.77,4.80,29.63,21.58,6.18,6.79,3.78,4.45,5.23,5.35,2011
45,Ohio State,Big Ten (Leaders),,6,7,-0.21,4.87,4.66,27.92,18.40,6.27,7.11,4.17,4.18,5.06,5.26,2011
46,California,Pac-12 (North),,7,6,0.56,4.00,4.57,30.23,19.67,6.79,6.78,3.73,4.24,5.44,5.07,2011
47,Iowa,Big Ten (Legends),,7,6,3.16,1.22,4.38,30.61,22.85,6.83,7.97,3.69,4.11,5.44,5.59,2011
48,Tennessee,SEC (East),,5,7,-2.57,6.83,4.26,25.03,19.35,7.41,7.52,2.63,4.72,5.28,5.69,2011
49,Auburn,SEC (West),,8,5,3.57,0.23,3.80,30.01,26.35,7.20,7.47,4.27,5.00,5.58,5.89,2011
50,North Carolina,ACC (Coastal),,7,6,2.70,0.93,3.63,30.14,24.28,8.44,7.18,3.60,4.37,6.03,5.60,2011
51,Georgia Tech,ACC (Coastal),,8,5,4.79,-1.39,3.40,34.24,26.48,10.54,7.22,5.19,5.33,6.41,5.94,2011
52,South Florida,Big East,,5,7,1.24,1.97,3.21,31.75,21.93,5.86,7.62,4.41,3.65,5.35,5.31,2011
53,Utah,Pac-12 (South),,8,5,-3.09,6.25,3.16,25.76,17.65,6.13,6.68,3.13,3.88,4.65,4.98,2011
54,Illinois,Big Ten (Leaders),,7,6,-4.19,6.82,2.63,24.14,17.29,5.88,6.80,3.38,3.49,4.66,4.58,2011
55,North Carolina State,ACC (Atlantic),,8,5,1.62,0.96,2.57,27.95,25.53,5.98,7.51,2.50,4.42,4.53,5.71,2011
56,Louisville,Big East,,7,6,-2.38,4.75,2.38,24.06,20.19,6.51,8.06,3.28,3.93,4.91,5.66,2011
57,Iowa State,Big 12,,6,7,-0.63,2.75,2.12,26.06,22.12,5.04,7.54,4.17,4.87,4.77,5.79,2011
58,Louisiana Tech,WAC,,8,5,0.32,1.72,2.04,27.76,22.38,5.93,6.91,3.02,4.00,4.74,5.12,2011
59,Texas Tech,Big 12,,5,7,7.57,-5.69,1.88,36.06,33.86,6.31,9.09,3.53,5.39,5.46,6.52,2011
60,Washington,Pac-12 (North),,7,6,7.08,-5.28,1.80,35.26,30.63,7.58,7.69,4.09,5.59,6.00,6.31,2011
61,Northwestern,Big Ten (Legends),,6,7,4.85,-3.19,1.66,31.87,27.82,7.56,9.46,3.51,4.88,5.45,6.61,2011
62,Ohio,MAC (East),,10,4,2.26,-0.71,1.56,27.40,26.07,7.02,7.72,3.97,5.02,5.58,5.99,2011
63,Arkansas State,Sun Belt,,10,3,0.73,0.45,1.18,28.41,26.36,6.51,7.63,3.29,4.04,5.17,5.59,2011
66,Pitt,Big East,,6,7,-0.23,1.32,1.09,27.80,22.12,5.67,7.82,3.59,3.96,4.74,5.51,2011
67,SMU,CUSA (West),,8,5,-3.84,4.63,0.78,24.56,21.42,6.48,7.30,3.67,3.77,5.63,5.20,2011
68,Nevada,WAC,,7,6,-1.73,2.20,0.47,28.48,24.45,7.27,7.51,4.53,5.17,5.90,5.93,2011
69,Western Michigan,MAC (West),,7,6,5.32,-4.90,0.42,33.66,30.32,6.65,8.01,3.54,6.21,5.77,6.71,2011
70,Virginia,ACC (Coastal),,8,5,-2.81,2.95,0.14,23.43,23.61,6.32,7.01,3.76,4.58,5.22,5.58,2011
71,San Diego State,MWC,,8,5,1.03,-1.05,-0.02,26.39,25.78,5.49,8.91,4.06,4.71,5.11,6.17,2011
72,Air Force,MWC,,7,6,4.11,-4.49,-0.38,31.45,29.80,7.35,8.44,4.81,5.39,5.56,6.31,2011
73,Connecticut,Big East,,5,7,-1.91,1.48,-0.42,26.41,23.16,5.76,9.06,2.76,3.29,4.31,5.95,2011
74,Wake Forest,ACC (Atlantic),,6,7,0.38,-1.04,-0.66,28.87,26.88,6.83,7.24,2.93,5.33,5.08,5.98,2011
75,Purdue,Big Ten (Leaders),,7,6,-0.78,0.02,-0.76,28.65,26.20,5.84,7.95,3.85,4.63,5.00,5.87,2011
76,UCLA,Pac-12 (South),,6,8,-1.57,0.52,-1.05,27.71,25.50,7.73,6.80,4.40,5.70,5.93,5.75,2011
77,Navy,Ind,,5,7,2.93,-4.32,-1.39,30.18,30.06,6.97,8.88,4.86,5.52,5.48,6.65,2011
78,Arizona,Pac-12 (South),,4,8,3.65,-5.10,-1.46,32.89,29.02,7.33,8.39,2.95,5.01,5.98,6.37,2011
79,Kentucky,SEC (East),,5,7,-6.36,4.73,-1.63,20.34,24.72,4.68,7.18,3.23,5.21,4.10,5.86,2011
80,UCF,CUSA (East),,5,7,-5.09,3.28,-1.80,25.47,21.81,7.47,7.20,3.69,4.69,5.56,5.63,2011
81,Utah State,WAC,,7,6,3.18,-5.40,-2.22,30.51,30.65,6.84,7.53,4.99,4.25,5.88,5.50,2011
82,Louisiana,Sun Belt,,9,4,4.44,-7.08,-2.64,29.19,33.47,6.99,8.55,2.98,4.68,5.22,6.18,2011
83,Syracuse,Big East,,5,7,-1.38,-1.77,-3.15,25.55,25.99,5.70,8.38,3.55,4.27,4.88,5.94,2011
84,Wyoming,MWC,,8,5,-1.24,-2.58,-3.82,23.27,29.70,4.92,8.97,4.11,5.65,4.87,6.73,2011
85,Oregon State,Pac-12 (North),,3,9,-3.57,-0.76,-4.33,24.61,24.26,6.39,7.25,2.86,5.15,5.29,5.66,2011
88,Ball State,MAC (West),,6,6,-1.20,-3.18,-4.38,24.85,32.88,5.21,10.05,3.52,5.20,4.77,6.96,2011
89,Florida International,Sun Belt,,8,5,-5.28,0.75,-4.53,21.05,24.98,6.05,7.64,3.33,4.47,4.80,5.72,2011
90,Marshall,CUSA (East),,7,6,-5.24,0.65,-4.59,22.37,27.85,6.17,7.70,3.01,4.87,4.77,5.91,2011
91,Boston College,ACC (Atlantic),,4,8,-7.29,2.69,-4.61,20.23,22.33,5.58,7.23,3.16,5.05,4.43,5.87,2011
92,Bowling Green State,MAC (East),,5,7,-3.07,-1.68,-4.75,24.63,29.14,6.33,7.66,2.97,5.67,5.02,6.16,2011
93,Kansas,Big 12,,2,10,-1.93,-2.82,-4.75,25.25,34.80,6.20,8.86,3.34,5.70,4.54,6.94,2011
94,Miami (OH),MAC (East),,4,8,-6.27,1.37,-4.90,21.04,23.19,6.96,7.96,1.66,4.54,4.90,5.75,2011
95,East Carolina,CUSA (East),,5,7,0.04,-5.09,-5.04,25.88,32.39,5.94,7.28,2.58,5.15,4.75,5.79,2011
96,Washington State,Pac-12 (North),,4,8,-0.30,-5.31,-5.61,30.76,29.36,7.24,9.03,2.50,4.85,5.46,6.42,2011
97,San Jose State,WAC,,5,7,-2.80,-3.17,-5.97,23.12,29.87,6.22,8.34,2.67,5.27,4.98,6.25,2011
98,Kent State,MAC (East),,5,7,-9.50,3.48,-6.03,16.55,25.74,4.12,7.17,2.48,4.24,3.52,5.33,2011
99,Minnesota,Big Ten (Legends),,3,9,-5.07,-0.97,-6.04,21.75,28.60,5.95,7.45,3.88,5.46,4.89,6.08,2011
100,Western Kentucky,Sun Belt,,7,5,-4.54,-1.65,-6.18,19.94,28.72,5.75,8.64,3.46,5.26,4.51,6.72,2011
101,Eastern Michigan,MAC (West),,6,6,-7.65,1.10,-6.55,17.30,26.40,6.25,8.16,3.76,4.84,4.64,6.08,2011
102,Ole Miss,SEC (West),,2,10,-5.81,-0.90,-6.71,21.31,28.56,6.02,7.98,3.23,5.82,4.57,6.43,2011
103,Hawaii,WAC,,6,7,0.25,-7.15,-6.90,26.51,32.05,5.71,8.56,3.23,4.74,5.21,6.18,2011
104,Fresno State,WAC,,4,9,1.57,-8.81,-7.24,27.71,35.82,7.10,8.86,3.56,5.53,5.67,6.83,2011
105,Duke,ACC (Coastal),,3,9,-1.18,-6.16,-7.34,25.04,31.17,6.19,8.68,2.77,5.59,4.96,6.80,2011
106,Louisiana-Monroe,Sun Belt,,4,8,-5.42,-2.38,-7.80,21.73,28.61,4.88,7.48,3.51,4.13,4.51,5.58,2011
107,UTEP,CUSA (West),,5,7,-2.65,-5.28,-7.93,24.42,30.75,6.02,8.32,3.94,5.94,5.27,6.68,2011
110,Rice,CUSA (West),,4,8,-2.95,-5.20,-8.15,23.16,30.73,5.35,8.79,3.45,5.33,4.55,6.60,2011
111,Maryland,ACC (Atlantic),,2,10,-1.11,-7.11,-8.22,26.30,32.32,5.48,7.65,4.42,5.28,5.19,6.04,2011
112,Colorado,Pac-12 (South),,3,10,-5.94,-2.73,-8.67,22.87,31.11,6.42,8.14,3.16,5.62,5.14,6.43,2011
113,Army,Ind,,3,9,-6.41,-2.47,-8.88,24.06,28.69,4.86,8.86,5.00,5.49,5.09,6.47,2011
114,North Texas,Sun Belt,,5,7,-5.41,-4.53,-9.94,22.94,31.54,5.77,8.38,3.43,5.38,4.67,6.52,2011
115,Buffalo,MAC (East),,3,9,-5.46,-5.43,-10.89,21.56,32.65,4.70,8.56,3.74,5.25,4.56,6.27,2011
116,Indiana,Big Ten (Leaders),,1,11,-2.67,-8.24,-10.91,24.54,36.88,5.61,9.23,3.73,5.85,4.81,6.87,2011
117,Central Michigan,MAC (West),,3,9,-4.28,-7.00,-11.28,20.35,34.87,6.18,8.99,3.55,5.40,5.41,6.66,2011
118,New Mexico State,WAC,,4,9,-3.09,-8.86,-11.95,22.99,38.58,7.17,8.07,2.98,6.07,5.36,6.63,2011
119,Colorado State,MWC,,3,9,-6.54,-6.15,-12.69,17.87,33.18,4.98,8.51,3.56,6.08,4.53,6.74,2011
120,Idaho,WAC,,2,10,-8.33,-4.92,-13.24,18.31,33.58,4.69,8.31,2.91,4.87,4.11,6.16,2011
121,UAB,CUSA (East),,3,9,-6.51,-8.52,-15.03,18.78,38.21,5.82,9.24,3.37,6.15,4.95,7.19,2011
122,Troy,Sun Belt,,3,9,-6.81,-8.73,-15.54,18.90,36.03,5.61,9.04,2.44,5.27,4.67,6.59,2011
123,Nevada-Las Vegas,MWC,,2,10,-9.95,-7.77,-17.72,15.73,39.56,3.48,9.33,3.14,5.36,3.56,6.74,2011
124,Memphis,CUSA (East),,2,10,-12.32,-5.85,-18.17,13.33,38.61,4.80,9.45,2.01,5.94,3.76,7.28,2011
125,Middle Tennessee State,Sun Belt,,2,10,-6.35,-12.51,-18.86,19.74,41.19,5.00,8.63,3.50,5.69,4.58,6.52,2011
126,Akron,MAC (East),,1,11,-12.02,-7.09,-19.11,14.51,41.93,4.27,9.21,2.76,5.71,3.79,6.74,2011
127,Tulane,CUSA (West),,2,11,-9.85,-9.26,-19.11,17.52,39.39,4.74,8.70,2.98,5.41,4.23,6.49,2011
128,New Mexico,MWC,,1,11,-16.29,-3.02,-19.31,9.45,40.62,4.89,9.62,2.43,5.93,3.96,7.08,2011
129,Florida Atlantic,Sun Belt,,1,11,-15.32,-7.30,-22.63,10.99,37.48,4.02,8.01,2.80,4.88,3.63,5.92,2011
